ESTACAO,lat,lon,lvl,week,precipitation_avg,precipitation_max
A601,-22.8,-43.68333333,33.0,201848,4.685714285714285,27.2
A601,-22.8,-43.68333333,33.0,201849,0.0285714285714285,0.2
A601,-22.8,-43.68333333,33.0,201850,0.0,0.0
A601,-22.8,-43.68333333,33.0,201851,1.8857142857142857,10.2
A601,-22.8,-43.68333333,33.0,201852,0.0,0.0
A601,-22.8,-43.68333333,33.0,201900,2.04,9.4
A601,-22.8,-43.68333333,33.0,201901,0.0,0.0
A601,-22.8,-43.68333333,33.0,201902,0.0,0.0
A601,-22.8,-43.68333333,33.0,201903,5.571428571428571,37.6
A601,-22.8,-43.68333333,33.0,201904,0.0,0.0
A601,-22.8,-43.68333333,33.0,201905,7.114285714285714,24.2
A601,-22.8,-43.68333333,33.0,201906,2.257142857142857,8.4
A601,-22.8,-43.68333333,33.0,201907,6.285714285714286,16.6
A601,-22.8,-43.68333333,33.0,201908,7.6571428571428575,29.0
A601,-22.8,-43.68333333,33.0,201909,0.7999999999999999,3.4
A601,-22.8,-43.68333333,33.0,201910,9.685714285714289,34.2
A601,-22.8,-43.68333333,33.0,201911,2.257142857142857,5.4
A601,-22.8,-43.68333333,33.0,201912,1.9428571428571428,9.4
A601,-22.8,-43.68333333,33.0,201913,0.7142857142857143,5.0
A601,-22.8,-43.68333333,33.0,201914,3.857142857142857,17.2
A601,-22.8,-43.68333333,33.0,201915,1.0285714285714287,6.6
A601,-22.8,-43.68333333,33.0,201916,0.0,0.0
A601,-22.8,-43.68333333,33.0,201917,2.1142857142857143,11.0
A601,-22.8,-43.68333333,33.0,201918,2.6,11.4
A601,-22.8,-43.68333333,33.0,201919,2.0571428571428574,5.8
A601,-22.8,-43.68333333,33.0,201920,0.0285714285714285,0.2
A601,-22.8,-43.68333333,33.0,201921,5.6000000000000005,39.2
A601,-22.8,-43.68333333,33.0,201922,3.942857142857143,17.4
A601,-22.8,-43.68333333,33.0,201923,0.0,0.0
A601,-22.8,-43.68333333,33.0,201924,0.0,0.0
A601,-22.8,-43.68333333,33.0,201925,0.0,0.0
A601,-22.8,-43.68333333,33.0,201926,0.3428571428571429,1.6
A601,-22.8,-43.68333333,33.0,201927,0.0,0.0
A601,-22.8,-43.68333333,33.0,201928,0.0857142857142857,0.6
A601,-22.8,-43.68333333,33.0,201929,0.0,0.0
A601,-22.8,-43.68333333,33.0,201930,0.2571428571428572,1.0
A601,-22.8,-43.68333333,33.0,201931,0.5714285714285714,3.2
A601,-22.8,-43.68333333,33.0,201932,0.6285714285714287,1.8
A601,-22.8,-43.68333333,33.0,201933,0.9428571428571428,2.6
A601,-22.8,-43.68333333,33.0,201934,0.1142857142857143,0.8
A601,-22.8,-43.68333333,33.0,201935,5.428571428571429,14.2
A601,-22.8,-43.68333333,33.0,201936,0.0571428571428571,0.4
A601,-22.8,-43.68333333,33.0,201937,0.0,0.0
A601,-22.8,-43.68333333,33.0,201938,1.6285714285714286,2.8
A601,-22.8,-43.68333333,33.0,201939,0.2285714285714285,1.4
A601,-22.8,-43.68333333,33.0,201940,1.6285714285714286,7.0
A601,-22.8,-43.68333333,33.0,201941,0.0,0.0
