week,predicted_precipitation_avg,predicted_precipitation_max,CITY,precipitation_avg,precipitation_max
201650,4.3843,14.4046,Angra Dos Reis,4.3843,14.4046
201651,2.1159,13.6355,Angra Dos Reis,2.1159,13.6355
201652,0.6336,3.3181,Angra Dos Reis,0.6336,3.3181
201701,5.3735,20.2847,Angra Dos Reis,5.3735,20.2847
201702,6.9134,32.0837,Angra Dos Reis,6.9134,32.0837
201703,5.3333,20.8918,Angra Dos Reis,5.3333,20.8918
201704,4.8896,20.7842,Angra Dos Reis,4.8896,20.7842
201705,1.6741,7.4972,Angra Dos Reis,1.6741,7.4972
201706,2.6488,14.5901,Angra Dos Reis,2.6488,14.5901
201707,0.0,0.0,Angra Dos Reis,-0.0037,-0.0357
201708,0.9177,5.5717,Angra Dos Reis,0.9177,5.5717
201709,2.5844,11.0914,Angra Dos Reis,2.5844,11.0914
201710,1.9908,10.3253,Angra Dos Reis,1.9908,10.3253
201711,2.5197,14.0031,Angra Dos Reis,2.5197,14.0031
201712,2.1742,10.4844,Angra Dos Reis,2.1742,10.4844
201713,1.6503,6.6161,Angra Dos Reis,1.6503,6.6161
201714,1.2422,5.7011,Angra Dos Reis,1.2422,5.7011
201715,1.6599,9.1319,Angra Dos Reis,1.6599,9.1319
201716,1.2515,4.2727,Angra Dos Reis,1.2515,4.2727
201717,2.0519,7.5426,Angra Dos Reis,2.0519,7.5426
201718,0.6334,3.6613,Angra Dos Reis,0.6334,3.6613
201719,0.9885,2.8809,Angra Dos Reis,0.9885,2.8809
201720,1.1664,6.2053,Angra Dos Reis,1.1664,6.2053
201721,1.0241,6.0965,Angra Dos Reis,1.0241,6.0965
201722,0.0432,0.145,Angra Dos Reis,0.0432,0.145
201723,0.5574,3.39,Angra Dos Reis,0.5574,3.39
201724,1.8403,9.6194,Angra Dos Reis,1.8403,9.6194
201725,1.9795,7.393,Angra Dos Reis,1.9795,7.393
201726,0.3654,1.7268,Angra Dos Reis,0.3654,1.7268
201727,0.9059,3.302,Angra Dos Reis,0.9059,3.302
201728,0.047,0.2079,Angra Dos Reis,0.047,0.2079
201729,0.365,1.6285,Angra Dos Reis,0.365,1.6285
201730,0.0332,0.215,Angra Dos Reis,0.0332,0.215
201731,0.3633,1.9295,Angra Dos Reis,0.3633,1.9295
201732,0.119,0.7526,Angra Dos Reis,0.119,0.7526
